product,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
manolomartinez/greg,0,0,25,3699,273,2286,1,5823,7,2124,14,716,1,570,2,570,43,414,0,0,0,0,0,0
planetlabs/planet-client-python,2,3846,75,18275,1418,18132,5,30255,39,15826,296,5130,5,8103,100,29992,1427,23486,6,30063,29,8174,173,3066
brian-team/brian2genn,0,0,81,27283,1420,26161,2,50905,40,23622,170,5032,4,131072,1277,723259,24694,428546,5,640218,35,48031,175,4770
nrel/rdtools,0,0,2856,1100463,31589,916139,8,1369813,148,269350,1339,59343,18,190376,1246,502479,19118,405560,6,436284,92,124181,645,30637
nrel/hescore-hpxml,0,0,42,8410,705,8063,2,13318,10,4908,41,769,5,47615,336,76721,4043,50722,2,32997,4,3891,6,124
nrel/openoa,0,0,725,327828,10328,231984,8,382530,60,54702,378,10679,20,211136,1986,673487,29391,578267,11,777613,271,315262,2113,87753
noripyt/django-cachalot,0,0,701,80740,8014,94204,1,148290,162,67550,661,11006,2,6933,30,7905,439,4116,1,1737,2,765,6,86
pyamg/pyamg,0,0,619,309925,9884,268716,2,390953,77,81028,459,19536,0,0,0,0,0,-734,0,0,0,0,0,0
openstenoproject/plover,1,608,143,50257,2341,28718,3,57282,19,7633,97,1864,1,998,1,998,61,265,0,0,0,0,0,0
jopohl/urh,0,0,301,106658,8457,146993,4,227654,100,120996,993,21121,0,0,0,0,0,-104,0,0,0,0,0,0
sfstoolbox/sfs-python,0,0,632,296931,9866,269440,2,390959,64,94028,390,17698,0,0,0,0,0,-606,0,0,0,0,0,0
docker/docker-py,0,0,29,4946,459,5681,3,11365,14,6419,97,2155,7,41959,206,79594,4560,64720,5,60293,50,22658,281,5228
wger-project/wger,1,2514,148,17291,1476,16665,6,23823,22,9046,75,1178,18,86317,1316,236633,16029,209609,11,255767,239,105451,1312,21842
golemhq/golem,0,0,31,3268,642,9868,5,16970,34,13702,104,2388,18,68032,669,263839,14971,184973,11,233610,91,37803,306,5907
jantman/awslimitchecker,1,2636,40,9467,427,7034,2,8457,6,1626,12,236,6,32397,191,71225,4366,56394,3,53710,28,14882,191,4022
mixpanel/mixpanel-python,1,998,8,1578,217,2460,1,5435,11,4855,80,1827,2,4811,46,24481,609,17557,2,22552,9,2882,38,787
mysociety/mapit,2,3500,809,117250,10065,121037,4,184661,182,70911,729,11139,4,141916,269,142888,4280,103050,1,1737,2,765,6,86
qutip/qutip,0,0,595,266828,9805,260636,3,395016,115,128188,730,31650,0,0,0,0,0,-1966,0,0,0,0,0,0
lebedov/scikit-cuda,1,8521,277,119216,4670,109133,2,144843,26,34148,103,3216,4,5672,31,12882,851,8611,1,7439,1,229,2,19
django-cas-ng/django-cas-ng,1,431,814,120400,8371,100399,1,149210,56,29241,180,2944,9,47755,132,48727,1714,31588,1,1737,2,765,6,86
cookiecutter/cookiecutter,0,0,61,22416,1835,26201,7,46327,34,23911,169,3086,5,17468,95,70929,1132,25575,4,60097,30,6636,70,912
naturalhistorymuseum/ckanext-ldap,2,15159,107,15159,690,8239,0,0,0,0,0,0,2,35685,631,110758,4888,72334,2,97042,52,21969,185,3591
inasafe/inasafe,0,0,42,1597,343,2666,1,7896,48,6299,166,2248,1,798,25,2648,174,1721,1,2912,11,1062,21,471
gluster/gstatus,0,0,14,1028,134,1900,1,3077,7,2049,33,582,5,43358,178,60982,3589,44224,1,20421,5,2797,19,250
mapillary/mapillary_tools,2,3680,90,17473,1857,20926,8,37100,45,23307,255,4760,7,35490,140,45519,1392,32399,2,11300,3,1271,4,100
wamdam/backy2,0,0,255,126707,11640,165554,7,272615,98,145908,678,16045,4,9958,41,15941,798,8252,2,9470,3,3487,8,327
sasview/sasview,2,36187,248,77918,4125,61536,4,63983,28,22252,144,2870,14,150762,1638,688595,30214,517168,9,645039,114,107206,836,27047
regionmask/regionmask,0,0,110,35961,3100,76719,4,108616,65,72655,413,10385,14,52532,689,252157,13323,277729,12,376758,152,177133,1248,40910
scrapinghub/python-scrapinghub,0,0,10,1979,234,3698,2,5758,9,3779,29,488,4,17101,57,27412,764,19316,2,12484,3,2173,4,169
scrapinghub/dateparser,0,0,24,12593,610,11506,4,21194,9,8601,271,4285,1,998,1,998,61,343,0,0,0,0,0,0
scrapinghub/shub,1,323,476,166353,6990,106032,6,213010,142,46992,581,12280,4,8831,80,32134,1149,24627,4,32050,22,8735,129,2830
yelp/pgctl,2,315,190,108427,6029,71233,4,112371,8,4259,18,203,0,0,0,0,0,-13,0,0,0,0,0,0
cuemacro/findatapy,1,48118,1202,367866,17135,351613,14,498511,209,178763,1766,52347,89,942839,6171,2199335,82567,1521299,35,1497068,287,240572,1562,50337
holoviz/datashader,2,33937,1277,591181,30200,603556,7,886929,290,329685,2396,76734,13,44862,260,80371,4841,63631,9,55828,22,20319,150,3497
holoviz/holoviews,0,0,308,100874,5640,115692,4,216147,93,115273,565,16741,20,75280,903,224902,13383,230744,13,335513,242,185891,1637,39835
holoviz/geoviews,0,0,492,117369,6195,92034,5,176142,80,58773,332,8420,34,314915,1539,623718,26168,475685,9,488699,135,179896,1094,31237
kovacsbalu/wazeroutecalculator,0,0,11,2120,223,3664,1,5435,7,3315,13,260,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
bugsnag/bugsnag-python,0,0,17,11962,735,9602,1,13704,1,1742,1,2,0,0,0,0,0,-2,0,0,0,0,0,0
ekzhu/datasketch,0,0,677,357480,10260,284212,2,390953,19,33473,72,3308,0,0,0,0,0,-2,0,0,0,0,0,0
