product,NBD,NBFD,NBMD,NBD-LOC,NBFD-LOC,NBMD-LOC,PBD,PBFD,PBMD,PBD-LOC,PBFD-LOC,PBMD-LOC,unique_unresolved_count,unique_resolved_count,unresolved_count,resolved_count
pytrip/pytripgui,13,1186,21638,354541,610108,459476,65.0,88.37555886736214,94.11099512874043,45.84619443004059,78.89392197608515,93.1924387473633,1570,24347,25107,165218
theochem/horton,1,6,28,440,440,321,100.0,100.0,100.0,100.0,100.0,100.0,0,0,147,0
astropy/astroquery,13,913,16583,63097,294509,309017,50.0,82.40072202166066,92.72534108700515,12.791859854559167,59.7067666276743,87.81436666306713,8,14166,12310,48040
astropy/specutils,13,1343,20463,24053,459821,461043,59.09090909090909,88.82275132275133,94.79755397016585,3.489320095396703,66.70530310503501,91.32367360278899,2002,30168,33462,195966
astropy/photutils,2,622,10614,9986,185704,237559,40.0,82.49336870026525,92.40010446591799,2.710081524983988,50.39785494849054,88.17389884233226,1935,11155,12038,43143
getnikola/nikola,6,982,9161,19333,301372,129145,23.076923076923077,88.3093525179856,92.6570243754425,5.241028199025152,81.69964053155786,89.41268511530978,5,257,1166,443
containerbuildsystem/atomic-reactor,13,234,2752,40761,66572,51145,72.22222222222221,91.05058365758755,95.35689535689535,53.69294605809129,87.69281433181848,94.45234445696134,2,141,511,192
garabik/grc,6,44,737,13424,13424,10060,100.0,100.0,100.0,100.0,100.0,100.0,4,6,22,6
sherpa/sherpa,0,197,3588,0,81922,90063,0.0,82.77310924369748,94.92063492063491,0.0,61.14266522371907,91.68957302547187,103,629,1028,1960
networktocode/pyntc,24,1348,15186,170330,287345,201355,68.57142857142857,96.97841726618705,98.74504194030821,54.87983658161737,92.58173335610192,98.18363565437878,87,979,1051,1782
networktocode/ntc-templates,2,228,2041,41302,41813,25856,66.66666666666666,98.27586206896551,98.21944177093359,92.8573034465703,94.00616021043639,97.60664401661005,0,194,50,329
openslide/openslide-python,0,86,1143,0,25260,20726,0.0,91.48936170212765,97.77587681779298,0.0,81.44183647149859,96.59318637274549,0,9,0,14
ploxiln/fab-classic,5,108,2553,37925,37925,25319,100.0,100.0,100.0,100.0,100.0,100.0,6,2,36,2
jamesphoughton/pysd,11,1171,21006,32272,493572,483213,40.74074074074074,79.87721691678036,90.04243645248403,4.1171825264691515,62.96870395247992,87.86409797165223,85,44375,30822,250289
cherrypy/cheroot,1,3,264,605,1541,4819,50.0,75.0,99.62264150943396,10.197202090005057,25.973369290409575,98.95277207392196,5,1,14,1
kibitzr/kibitzr,31,1606,31719,131298,602952,462660,64.58333333333334,94.47058823529412,98.81308411214953,19.708288865172534,90.50520333770135,98.45484666571616,80,440,1078,693
usnistgov/fipy,8,1426,21809,126879,591426,447555,53.333333333333336,93.20261437908496,97.41814445883772,17.48070810652184,81.48350217615038,94.83885732691122,153,21943,24076,159498
pyecore/pyecore,0,31,498,0,5237,6016,0.0,81.57894736842105,96.32495164410058,0.0,53.48789704830968,94.66561762391818,5,10,11,21
ma1co/sony-pmca-re,7,1211,8050,98728,161748,113999,50.0,91.74242424242425,93.00982091276718,47.94413445802557,78.54780670444778,90.47324270057062,11,82,130,555
behave/behave-django,3,22,619,6945,9990,9078,75.0,88.0,97.32704402515722,49.996400547116835,71.91706860557196,92.99323909035033,0,11,0,12
phonologicalcorpustools/corpustools,1,452,9097,2551,200318,157300,25.0,97.41379310344827,99.43163187233579,1.1600200081851666,91.09090082306398,99.33879391463053,15,14,55,14
4dn-dcic/tibanna,7,324,6506,67301,113372,87679,53.84615384615385,89.75069252077562,97.43896959712445,48.79005364651297,82.18935769175003,97.16093571658115,1,252,613,524
