Identifier,Package,VersionConstraint
GHSA-pqhm-4wvf-2jg8,tensorflow,">= 2.7.0,< 2.7.2"
GHSA-pqhm-4wvf-2jg8,tensorflow,">= 2.8.0,< 2.8.1"
GHSA-pqhm-4wvf-2jg8,tensorflow-cpu,">= 0,< 2.6.4"
GHSA-pqhm-4wvf-2jg8,tensorflow-cpu,">= 2.7.0,< 2.7.2"
GHSA-pqhm-4wvf-2jg8,tensorflow-cpu,">= 2.8.0,< 2.8.1"
GHSA-pqhm-4wvf-2jg8,tensorflow-gpu,">= 0,< 2.6.4"
GHSA-pqhm-4wvf-2jg8,tensorflow-gpu,">= 2.7.0,< 2.7.2"
GHSA-pqhm-4wvf-2jg8,tensorflow-gpu,">= 2.8.0,< 2.8.1"
GHSA-qj7x-wm9q-qjx8,Plone,">= 2.1,< 3.3.6"
GHSA-cq5g-924m-7fxh,plone,">= 0,< 4.2.3"
GHSA-cq5g-924m-7fxh,plone,">= 4.3a1,< 4.3b1"
GHSA-cxw7-85xm-3xrc,Plone,">= 0,< 4.2.3"
GHSA-cxw7-85xm-3xrc,Plone,">= 4.3a1,< 4.3b1"
GHSA-q3cj-2r34-2cwc,cryptography,">= 0,< 1.5.3"
GHSA-xc4g-7vw8-924h,nova,">= 0,< 12.0.0"
GHSA-6667-f46p-pg88,ansible,">= 0,< 1.5.5"
GHSA-j57p-g33w-95c5,horizon,">= 0,< 8.0.0a0"
GHSA-q95h-vc86-hv77,wolfcrypt,">= 0,< 4.1.0"
GHSA-7xx3-qp5w-fw96,jupyterhub,">= 0,< 1.2.0b1"
GHSA-hjr4-fhgp-23g9,pyqlib,">= 0,< 0.7.0"
GHSA-89c9-3758-737w,keycloak-httpd-client-install,">= 0,< 0.8"
GHSA-vx77-5pf4-c9wr,cherrypy,">= 0,< 2.1.1"
GHSA-76x4-x3p6-rpr9,salt,">= 0,< 2015.8.13"
GHSA-76x4-x3p6-rpr9,salt,">= 2016.3.0,< 2016.11.5"
GHSA-76x4-x3p6-rpr9,salt,">= 2016.11.7,< 2016.11.10"
GHSA-76x4-x3p6-rpr9,salt,">= 2017.5.0,< 2017.7.8"
GHSA-76x4-x3p6-rpr9,salt,">= 2018.2.0,<= 2018.3.5"
GHSA-76x4-x3p6-rpr9,salt,">= 2019.2.0,< 2019.2.8"
GHSA-76x4-x3p6-rpr9,salt,">= 3000,< 3000.7"
GHSA-76x4-x3p6-rpr9,salt,">= 3001,< 3001.5"
GHSA-76x4-x3p6-rpr9,salt,">= 3002,< 3002.3"
GHSA-vf8g-m3vq-6p4p,plone,">= 3.3.0,< 3.3.7"
GHSA-vf8g-m3vq-6p4p,plone,">= 4.0.0,< 4.0.11"
GHSA-vf8g-m3vq-6p4p,plone,">= 4.1.0,< 4.1.7"
GHSA-vf8g-m3vq-6p4p,plone,">= 4.2.0,< 4.2.8"
GHSA-vf8g-m3vq-6p4p,plone,">= 4.3.0,< 4.3.7"
GHSA-vf8g-m3vq-6p4p,plone,== 5.0rc1
GHSA-jr83-vr4j-mp6p,web2py,">= 0,< 2.14.2"
GHSA-xcx4-5wq7-g5g7,salt,">= 2016.11,< 2016.11.4"
GHSA-5g4v-2pc6-4hh4,ansible,">= 0,< 1.5.5"
GHSA-cfj3-7x9c-4p3h,requests,">= 0,< 2.3.0"
GHSA-5h2q-4hrp-v9rr,Django,">= 0,< 1.3.2"
GHSA-5h2q-4hrp-v9rr,Django,">= 1.4,< 1.4.1"
GHSA-hx9q-2mx4-m4pg,tensorflow,">= 0,< 2.6.4"
GHSA-hx9q-2mx4-m4pg,tensorflow,">= 2.7.0,< 2.7.2"
GHSA-hx9q-2mx4-m4pg,tensorflow,">= 2.8.0,< 2.8.1"
GHSA-hx9q-2mx4-m4pg,tensorflow-cpu,">= 0,< 2.6.4"
GHSA-hx9q-2mx4-m4pg,tensorflow-cpu,">= 2.7.0,< 2.7.2"
GHSA-hx9q-2mx4-m4pg,tensorflow-cpu,">= 2.8.0,< 2.8.1"
GHSA-hx9q-2mx4-m4pg,tensorflow-gpu,">= 0,< 2.6.4"
GHSA-hx9q-2mx4-m4pg,tensorflow-gpu,">= 2.7.0,< 2.7.2"
GHSA-hx9q-2mx4-m4pg,tensorflow-gpu,">= 2.8.0,< 2.8.1"
GHSA-g892-9h8m-r69r,apache-libcloud,">= 0.12.3,< 0.13.3"
GHSA-6g7x-4c7m-g63m,reviewboard,">= 1.6,< 1.6.17"
GHSA-6g7x-4c7m-g63m,reviewboard,">= 1.7,< 1.7.10"
GHSA-8m9x-pxwq-j236,pillow,">= 0,< 2.5.0"
GHSA-f8vc-f28w-x9c9,apache-superset,">= 0,< 1.2"
GHSA-mj3x-wprp-mvj9,buildbot,">= 0.7.6,< 0.7.11p3"
GHSA-h48f-q7rw-hvr7,tensorflow,">= 0,< 2.6.4"
GHSA-h48f-q7rw-hvr7,tensorflow,">= 2.7.0,< 2.7.2"
GHSA-h48f-q7rw-hvr7,tensorflow,">= 2.8.0,< 2.8.1"
GHSA-h48f-q7rw-hvr7,tensorflow-cpu,">= 0,< 2.6.4"
GHSA-h48f-q7rw-hvr7,tensorflow-cpu,">= 2.7.0,< 2.7.2"
GHSA-h48f-q7rw-hvr7,tensorflow-cpu,">= 2.8.0,< 2.8.1"
GHSA-h48f-q7rw-hvr7,tensorflow-gpu,">= 0,< 2.6.4"
GHSA-h48f-q7rw-hvr7,tensorflow-gpu,">= 2.7.0,< 2.7.2"
GHSA-h48f-q7rw-hvr7,tensorflow-gpu,">= 2.8.0,< 2.8.1"
GHSA-mffc-9gx5-99g3,kerberos,">= 0,<= 1.2.5"
GHSA-3f2c-jm6v-cr35,django,">= 1.8,< 1.8.16"
GHSA-3f2c-jm6v-cr35,django,">= 1.9,< 1.9.11"
GHSA-3f2c-jm6v-cr35,django,">= 1.10,< 1.10.3"
GHSA-27x4-j476-jp5f,setuptools,">= 0,< 0.7"
GHSA-w589-r335-4f55,salt,">= 0,< 2015.8.13"
GHSA-w589-r335-4f55,salt,">= 2016.3.0,< 2016.11.5"
GHSA-w589-r335-4f55,salt,">= 2016.11.7,< 2016.11.10"
GHSA-w589-r335-4f55,salt,">= 2017.5.0,< 2017.7.8"
GHSA-w589-r335-4f55,salt,">= 2018.2.0,<= 2018.3.5"
GHSA-w589-r335-4f55,salt,">= 2019.2.0,< 2019.2.8"
GHSA-w589-r335-4f55,salt,">= 3000,< 3000.7"
GHSA-w589-r335-4f55,salt,">= 3001,< 3001.5"
GHSA-w589-r335-4f55,salt,">= 3002,< 3002.3"
GHSA-22jm-p2vv-j2hc,plone,">= 5.0.0,<= 5.0.6"
GHSA-22jm-p2vv-j2hc,plone,">= 4.0.0,<= 4.3.11"
GHSA-4xf6-xr96-7vmp,djblets,">= 0,< 0.7.30"
GHSA-4xf6-xr96-7vmp,djblets,">= 0.8.0,< 0.8.3"
GHSA-qcj3-h27m-mp9x,octavia,">= 0,< 3.1.0"
GHSA-qcj3-h27m-mp9x,octavia,">= 3.0.0.0b1,< 3.1.0"
GHSA-xmw7-848p-p95w,knowledge-repo,">= 0,<= 0.7.4"
GHSA-8vwv-2v7v-jmgr,horizon,">= 0,< 8.0.0a0"
GHSA-5xm4-jmpw-p6j3,ansible,">= 0,< 1.5.5"
GHSA-qvpr-qm6w-6rcc,Keystone,">= 0,< 8.0.0a0"
GHSA-9qh2-6fxg-9m4g,OpenCC,">= 0,< 1.1.2"
GHSA-w6g9-xccc-347h,Plone,">= 4.3,<= 5.2.1"
GHSA-w6g9-xccc-347h,plone.app.contenttypes,">= 0,< 2.1.6"
GHSA-v9pc-9mvp-x87g,pillow,">= 2.5.0,< 3.1.2"
GHSA-625g-gx8c-xcmg,django,">= 0,< 1.4.14"
GHSA-625g-gx8c-xcmg,django,">= 1.5.0,< 1.5.9"
GHSA-625g-gx8c-xcmg,django,">= 1.6.0,< 1.6.6"
GHSA-8rp6-x3r7-5qw3,salt,">= 0,< 2015.8.13"
GHSA-8rp6-x3r7-5qw3,salt,">= 2016.3.0,< 2016.11.5"
GHSA-8rp6-x3r7-5qw3,salt,">= 2016.11.7,< 2016.11.10"
GHSA-8rp6-x3r7-5qw3,salt,">= 2017.5.0,< 2017.7.8"
GHSA-8rp6-x3r7-5qw3,salt,">= 2018.2.0,<= 2018.3.5"
GHSA-8rp6-x3r7-5qw3,salt,">= 2019.2.0,< 2019.2.8"
